#TYPE System.Management.Automation.PSCustomObject
"technique_id","technique_name","event_id","event_name","link_text","source_name","sec_rec_name"
"T1012","Query Registry","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1018","Remote System Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1063","Security Software Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1082","System Information Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1016","System Network Configuration Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1049","System Network Connections Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1033","System Owner/User Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1007","System Service Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1124","System Time Discovery","4688","A new process has been created.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688","Advanced Audit Logs","Monitor"
"T1135","Network Share Discovery","5140","A network share object was accessed.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5140","Advanced Audit Logs","Monitor"
"T1135","Network Share Discovery","5145","A network share object was checked to see whether client can be granted desired access.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5145","Advanced Audit Logs","Monitor"
"T1046","Network Service Scanning","5156","The Windows Filtering Platform has permitted a connection.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156","Advanced Audit Logs","Monitor"
"T1135","Network Share Discovery","5156","The Windows Filtering Platform has permitted a connection.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156","Advanced Audit Logs","Monitor"
"T1018","Remote System Discovery","5156","The Windows Filtering Platform has permitted a connection.","https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156","Advanced Audit Logs","Monitor"
"T1016","System Network Configuration Discovery","5861",,,,
"T1007","System Service Discovery","5861",,,,
